<TICKER>;<DATE>;<OPEN>;<CLOSE>
BYNRUB_TOD;20210902;29.2500000;29.1975000
BYNRUB_TOD;20210903;29.0975000;29.0975000
BYNRUB_TOD;20210908;29.2275000;29.2275000
BYNRUB_TOD;20210914;29.2475000;29.2475000
BYNRUB_TOD;20210916;29.3475000;29.3475000
BYNRUB_TOD;20210921;29.4775000;29.3225000
BYNRUB_TOD;20210922;29.2975000;29.2975000
BYNRUB_TOD;20210927;29.2300000;29.2300000
BYNRUB_TOD;20210928;29.1575000;29.1575000
BYNRUB_TOD;20210930;28.9800000;28.9800000
BYNRUB_TOD;20211001;29.1900000;29.1900000
BYNRUB_TOD;20211004;29.1900000;29.1900000
BYNRUB_TOD;20211005;29.5750000;29.5750000
BYNRUB_TOD;20211012;29.1875000;29.1875000
BYNRUB_TOD;20211018;29.2775000;29.2775000
BYNRUB_TOD;20211019;29.2500000;29.7525000
BYNRUB_TOD;20211021;29.1925000;29.1925000
BYNRUB_TOD;20211028;29.1475000;29.0975000
BYNRUB_TOD;20211102;29.2000000;29.2000000
BYNRUB_TOD;20211103;29.2375000;29.2000000
BYNRUB_TOD;20211109;29.2300000;29.2300000
BYNRUB_TOD;20211115;30.1625000;30.1625000
BYNRUB_TOD;20211116;30.1600000;30.1600000
BYNRUB_TOD;20211117;29.4000000;29.4000000
BYNRUB_TOD;20211123;29.8875000;29.8875000
BYNRUB_TOD;20211124;29.6475000;29.6475000
BYNRUB_TOD;20211125;29.4350000;29.4350000
BYNRUB_TOD;20211126;29.6975000;29.6975000
