<TICKER>;<DATE>;<OPEN>;<CLOSE>
EUR_RUB__TOD;20210901;86.5350000;86.3000000
EUR_RUB__TOD;20210902;86.3950000;86.1975000
EUR_RUB__TOD;20210903;86.7475000;86.3950000
EUR_RUB__TOD;20210906;86.4500000;86.4875000
EUR_RUB__TOD;20210907;86.6600000;86.8725000
EUR_RUB__TOD;20210908;86.9400000;86.6250000
EUR_RUB__TOD;20210909;86.6250000;86.2250000
EUR_RUB__TOD;20210910;86.2250000;85.9900000
EUR_RUB__TOD;20210913;86.4500000;85.8975000
EUR_RUB__TOD;20210914;85.9200000;86.0625000
EUR_RUB__TOD;20210915;86.1925000;85.9650000
EUR_RUB__TOD;20210916;85.3700000;85.2500000
EUR_RUB__TOD;20210917;85.4100000;85.5025000
EUR_RUB__TOD;20210920;85.4775000;86.0975000
EUR_RUB__TOD;20210921;86.0250000;85.9250000
EUR_RUB__TOD;20210922;85.5000000;85.3700000
EUR_RUB__TOD;20210923;85.7300000;85.1425000
EUR_RUB__TOD;20210924;85.4500000;85.4675000
EUR_RUB__TOD;20210927;85.1075000;84.9375000
EUR_RUB__TOD;20210928;84.7575000;84.8225000
EUR_RUB__TOD;20210929;84.9400000;84.6975000
EUR_RUB__TOD;20210930;84.5800000;84.3025000
EUR_RUB__TOD;20211001;84.2500000;84.6800000
EUR_RUB__TOD;20211004;84.4050000;84.7225000
EUR_RUB__TOD;20211005;84.2000000;84.1400000
EUR_RUB__TOD;20211006;83.9125000;83.7050000
EUR_RUB__TOD;20211007;83.6325000;83.1150000
EUR_RUB__TOD;20211008;82.9200000;83.2025000
EUR_RUB__TOD;20211011;83.0575000;82.9700000
EUR_RUB__TOD;20211012;82.9550000;83.0300000
EUR_RUB__TOD;20211013;82.9250000;83.0600000
EUR_RUB__TOD;20211014;83.4750000;83.1300000
EUR_RUB__TOD;20211015;82.8000000;82.5500000
EUR_RUB__TOD;20211018;82.2275000;82.6950000
EUR_RUB__TOD;20211019;82.6950000;82.6200000
EUR_RUB__TOD;20211020;82.6000000;82.5325000
EUR_RUB__TOD;20211021;82.5700000;82.8900000
EUR_RUB__TOD;20211022;82.7525000;81.7475000
EUR_RUB__TOD;20211025;82.0275000;81.1325000
EUR_RUB__TOD;20211026;80.9000000;80.6225000
EUR_RUB__TOD;20211027;80.6025000;81.5000000
EUR_RUB__TOD;20211028;81.9675000;81.7000000
EUR_RUB__TOD;20211029;82.0075000;82.2200000
EUR_RUB__TOD;20211101;82.0000000;82.0100000
EUR_RUB__TOD;20211102;82.9825000;83.1500000
EUR_RUB__TOD;20211103;83.0775000;83.4175000
EUR_RUB__TOD;20211108;82.5000000;82.4400000
EUR_RUB__TOD;20211109;82.5225000;82.0700000
EUR_RUB__TOD;20211110;82.0500000;81.7450000
EUR_RUB__TOD;20211111;81.8925000;81.5800000
EUR_RUB__TOD;20211112;82.5200000;82.7625000
EUR_RUB__TOD;20211115;83.3000000;82.9000000
EUR_RUB__TOD;20211116;82.4200000;82.8600000
EUR_RUB__TOD;20211117;82.8350000;82.0900000
EUR_RUB__TOD;20211118;82.2550000;82.6400000
EUR_RUB__TOD;20211119;82.8750000;82.8300000
EUR_RUB__TOD;20211122;82.7700000;83.9000000
EUR_RUB__TOD;20211123;84.2150000;84.1475000
EUR_RUB__TOD;20211124;83.8900000;83.6700000
EUR_RUB__TOD;20211125;84.0900000;83.7500000
EUR_RUB__TOD;20211126;84.0100000;85.1350000
