<TICKER>;<DATE>;<OPEN>;<CLOSE>
GBPRUB_TOD;20210922;99.4375000;99.3325000
GBPRUB_TOD;20210923;99.5000000;99.8000000
GBPRUB_TOD;20210927;99.2200000;99.3250000
GBPRUB_TOD;20210928;99.3250000;98.8000000
GBPRUB_TOD;20210929;98.6000000;98.0850000
GBPRUB_TOD;20210930;97.7975000;97.9100000
GBPRUB_TOD;20211001;98.0550000;98.8800000
GBPRUB_TOD;20211004;98.5700000;99.1275000
GBPRUB_TOD;20211005;98.7000000;98.9000000
GBPRUB_TOD;20211006;98.6075000;98.4500000
GBPRUB_TOD;20211007;98.3600000;97.7800000
GBPRUB_TOD;20211008;97.6125000;98.0600000
GBPRUB_TOD;20211011;97.9275000;97.6775000
GBPRUB_TOD;20211012;97.6575000;97.7575000
GBPRUB_TOD;20211013;97.7350000;97.8600000
GBPRUB_TOD;20211014;98.4025000;98.2900000
GBPRUB_TOD;20211015;97.5350000;97.8350000
GBPRUB_TOD;20211018;97.5000000;97.8600000
GBPRUB_TOD;20211019;97.6750000;98.0250000
GBPRUB_TOD;20211020;97.8900000;97.6625000
GBPRUB_TOD;20211021;98.0000000;98.3300000
GBPRUB_TOD;20211022;97.9300000;96.9100000
GBPRUB_TOD;20211025;96.8700000;96.1475000
GBPRUB_TOD;20211026;95.9025000;95.8300000
GBPRUB_TOD;20211027;96.2400000;96.2900000
GBPRUB_TOD;20211028;97.0100000;96.8925000
GBPRUB_TOD;20211029;96.9700000;97.3200000
GBPRUB_TOD;20211101;97.2700000;96.9375000
GBPRUB_TOD;20211102;97.7275000;98.0425000
GBPRUB_TOD;20211103;97.6800000;98.0700000
GBPRUB_TOD;20211108;96.1000000;96.1300000
GBPRUB_TOD;20211109;96.7250000;96.2300000
GBPRUB_TOD;20211110;96.1000000;95.5600000
GBPRUB_TOD;20211111;96.3425000;95.3075000
GBPRUB_TOD;20211112;95.5900000;96.9075000
GBPRUB_TOD;20211115;97.4800000;97.2575000
GBPRUB_TOD;20211116;97.3800000;98.0450000
GBPRUB_TOD;20211117;98.2650000;97.6000000
GBPRUB_TOD;20211118;97.9150000;98.3225000
GBPRUB_TOD;20211119;98.2000000;98.7300000
GBPRUB_TOD;20211122;98.5575000;99.7300000
GBPRUB_TOD;20211124;95.7725000;99.7575000
GBPRUB_TOD;20211125;99.7475000;99.4875000
