<TICKER>;<DATE>;<OPEN>;<CLOSE>
JPYRUB_TOD;20210908;66.6750000;66.6750000
JPYRUB_TOD;20210909;66.4199000;66.4199000
JPYRUB_TOD;20210913;69.0408000;66.6613000
JPYRUB_TOD;20210914;66.3217000;66.3217000
JPYRUB_TOD;20210917;66.0449000;66.0449000
JPYRUB_TOD;20210927;65.7000000;65.7000000
JPYRUB_TOD;20211006;62.4279000;65.0799000
JPYRUB_TOD;20211008;64.5301000;64.5301000
JPYRUB_TOD;20211011;63.5099000;63.5099000
JPYRUB_TOD;20211012;63.5500000;63.5500000
JPYRUB_TOD;20211013;63.2849000;63.5600000
JPYRUB_TOD;20211018;62.4999000;62.4999000
JPYRUB_TOD;20211019;62.5840000;62.4499000
JPYRUB_TOD;20211020;62.3192000;62.3192000
JPYRUB_TOD;20211021;62.2499000;62.2499000
JPYRUB_TOD;20211022;62.6701000;62.0699000
JPYRUB_TOD;20211101;63.5300000;62.4993000
JPYRUB_TOD;20211108;62.8514000;62.8514000
JPYRUB_TOD;20211109;62.8887000;62.8887000
JPYRUB_TOD;20211110;62.7336000;62.7336000
JPYRUB_TOD;20211111;62.6041000;62.6041000
JPYRUB_TOD;20211115;64.0364000;64.0364000
JPYRUB_TOD;20211117;63.5199000;63.3850000
JPYRUB_TOD;20211124;64.8500000;64.8500000
JPYRUB_TOD;20211125;64.7000000;64.8902000
JPYRUB_TOD;20211126;66.4693000;66.4693000
