<TICKER>;<DATE>;<OPEN>;<CLOSE>
KZTRUB_TOD;20210901;17.3100000;17.4975000
KZTRUB_TOD;20210902;17.2600000;17.1500000
KZTRUB_TOD;20210913;17.2675000;17.1200000
KZTRUB_TOD;20210914;17.1800000;17.1800000
KZTRUB_TOD;20210915;17.1500000;17.1500000
KZTRUB_TOD;20210921;17.1600000;17.1600000
KZTRUB_TOD;20210928;17.1600000;17.1600000
KZTRUB_TOD;20211006;17.1300000;17.0800000
KZTRUB_TOD;20211007;17.0100000;17.0400000
KZTRUB_TOD;20211011;16.8900000;16.8900000
KZTRUB_TOD;20211014;16.8200000;16.8600000
KZTRUB_TOD;20211018;16.7600000;16.7600000
KZTRUB_TOD;20211019;16.6900000;16.6900000
KZTRUB_TOD;20211020;16.7000000;16.7100000
KZTRUB_TOD;20211021;17.2200000;17.2200000
KZTRUB_TOD;20211029;16.5200000;16.5600000
KZTRUB_TOD;20211101;16.6800000;16.6800000
KZTRUB_TOD;20211102;16.7500000;17.0000000
KZTRUB_TOD;20211103;16.7400000;16.7400000
KZTRUB_TOD;20211109;16.5500000;16.6400000
KZTRUB_TOD;20211110;16.5100000;16.5100000
KZTRUB_TOD;20211111;16.6200000;16.5500000
KZTRUB_TOD;20211115;16.8400000;16.8400000
KZTRUB_TOD;20211117;16.9100000;16.9500000
KZTRUB_TOD;20211119;16.8600000;16.8500000
KZTRUB_TOD;20211122;16.9200000;16.9500000
KZTRUB_TOD;20211123;17.3000000;17.3000000
KZTRUB_TOD;20211124;17.3000000;17.3000000
KZTRUB_TOD;20211125;17.3000000;17.3000000
KZTRUB_TOD;20211126;17.3500000;17.7000000
KZTRUB_TOD;20211129;17.2000000;17.2000000
